Model,Alpha,VaR,ES,Mean Loss,Std Dev
M1 (Empirical),0.9,209747.8180014895,355786.85252730554,76963.91159994852,118137.7801274367
M1 (Empirical),0.95,315406.8543988513,459915.9286633215,76963.91159994852,118137.7801274367
M1 (Empirical),0.99,523536.74269300915,737794.3655923111,76963.91159994852,118137.7801274367
M2 (Gaussian),0.9,218474.25809601575,340945.95974689856,76963.91159994852,108235.94843450043
M2 (Gaussian),0.95,309101.20334823633,423279.88473611977,76963.91159994852,108235.94843450043
M2 (Gaussian),0.99,493066.39062546333,596986.9028502166,76963.91159994852,108235.94843450043
M3 (t-Copula ML),0.9,218123.54323772076,342060.49646197434,76963.91159994852,109213.07765475418
M3 (t-Copula ML),0.95,308265.6527835283,427351.2563672024,76963.91159994852,109213.07765475418
M3 (t-Copula ML),0.99,485004.8717872914,616453.0184276531,76963.91159994852,109213.07765475418
