Model,Mean # Defaults,Median # Defaults,Std # Defaults,Max # Defaults,Min # Defaults,P(No Defaults),P(≥1 Default),P(≥5 Defaults),P(≥10 Defaults),Mean Exposure-Weighted Default Rate,P95 # Defaults,P99 # Defaults
M1 (Empirical),2.6207,1.0,3.8592008900807433,58,0,0.2445,0.7555,0.1672,0.0533,0.026914369027340318,10.0,18.0
M2 (Gaussian),2.6207,1.0,3.4477574610172335,31,0,0.2693,0.7307,0.1843,0.053,0.026914369027340318,10.0,16.0
M3 (t-Copula ML),2.6207,1.0,3.5180437049587656,38,0,0.2723,0.7277,0.1866,0.0531,0.026914369027340318,10.0,16.0
