Date,Sigma11_M1,Sigma22_M1,Sigma12_M1,rho_M1,VaR_M1,ES_M1,Sigma11_M2,Sigma22_M2,Sigma12_M2,rho_M2,VaR_M2,ES_M2,Sigma11_M3,Sigma22_M3,Sigma12_M3,rho_M3,VaR_M3,ES_M3,rho_M3_copula,nu_M3,converged_M3
2016-09-29,0.000613038586600624,0.0003697223242665337,0.00030917752520191467,0.6494207690782811,318404.5055166041,475044.04442170344,0.000607255203708165,0.00036623437781118897,0.0003062607560962362,0.6494207690782813,317899.24155769846,434795.25958968524,0.000602019180174868,0.00036093751738978757,0.00033770314521534275,0.7244591935154837,308844.0938522143,431627.13454076875,0.7307594864261516,7.9959504305896125,True
2016-09-30,0.0006092019069913523,0.00036624063321522975,0.0003061504047682713,0.6481431683614151,309334.49069114315,466075.5193637954,0.0006035084312250783,0.00036281782355901263,0.0003032891860321192,0.6481431683614148,317899.24155769846,434795.25958968524,0.0005982958107991418,0.0003575968064591317,0.0003340051405379432,0.7221016778458141,308349.16491201107,431225.8235272178,0.7283632042947222,8.109602950978612,True
2016-10-03,0.00061477017832246,0.00036847609877069053,0.0003085251440952497,0.6482305673950285,313332.4383452411,475059.2916743397,0.0006089704596590406,0.00036499990915964624,0.00030561452952831335,0.6482305673950285,317899.24155769846,434795.25958968524,0.0006037116224939073,0.0003597472506973105,0.00033644367014320624,0.7219362540299791,308864.0396631009,431108.76145374135,0.7282037055000206,8.104527487753908,True
2016-10-04,0.00061477017832246,0.00036847609877069053,0.0003085251440952497,0.6482305673950285,313332.4383452411,475059.2916743397,0.0006089704596590406,0.00036499990915964624,0.00030561452952831335,0.6482305673950285,317899.24155769846,434795.25958968524,0.0006037116224939073,0.0003597472506973105,0.00033644367014320624,0.7219362540299791,308864.0396631009,431108.76145374135,0.7282037055000206,8.104527487753908,True
2016-10-05,0.00061477017832246,0.00036847609877069053,0.0003085251440952497,0.6482305673950285,313332.4383452411,475059.2916743397,0.0006089704596590406,0.00036499990915964624,0.00030561452952831335,0.6482305673950285,317899.24155769846,434795.25958968524,0.0006037116224939073,0.0003597472506973105,0.00033644367014320624,0.7219362540299791,308864.0396631009,431108.76145374135,0.7282037055000206,8.104527487753908,True
2016-10-06,0.00061477017832246,0.00036847609877069053,0.0003085251440952497,0.6482305673950285,313332.4383452411,475059.2916743397,0.0006089704596590406,0.00036499990915964624,0.00030561452952831335,0.6482305673950285,317899.24155769846,434795.25958968524,0.0006037116224939073,0.0003597472506973105,0.00033644367014320624,0.7219362540299791,308864.0396631009,431108.76145374135,0.7282037055000206,8.104527487753908,True
2016-10-07,0.0006090077132370292,0.00036547850027621013,0.0003057480556736391,0.6480692127586799,313017.4001407368,479564.42993211304,0.0006033160523656551,0.0003620628133577408,0.0003028905972093995,0.64806921275868,317899.24155769846,434795.25958968524,0.0005981067854084863,0.00035684850026549455,0.00033372045547240314,0.7223564000912577,309503.09606205893,431057.184260799,0.7286271022494922,8.08969404645507,True
2016-10-10,0.0006140392579136954,0.00036692631892403345,0.0003074099961474618,0.6476352582967879,312384.60104288656,474212.12407721375,0.0006082464347258303,0.00036346474987758047,0.0003045099018441839,0.647635258296788,317899.24155769846,434730.50023292087,0.0006029926969563615,0.00035824032690123586,0.00033524610613436273,0.7213075530133404,308349.16491201107,431366.91275508644,0.7275693527637703,8.12795554168721,True
2016-10-11,0.0006140392579136954,0.00036692631892403345,0.0003074099961474618,0.6476352582967879,312384.60104288656,474212.12407721375,0.0006082464347258303,0.00036346474987758047,0.0003045099018441839,0.647635258296788,317899.24155769846,434730.50023292087,0.0006029926969563615,0.00035824032690123586,0.00033524610613436273,0.7213075530133404,308349.16491201107,431366.91275508644,0.7275693527637703,8.12795554168721,True
2016-10-12,0.0006140392579136954,0.00036692631892403345,0.0003074099961474618,0.6476352582967879,312384.60104288656,474212.12407721375,0.0006082464347258303,0.00036346474987758047,0.0003045099018441839,0.647635258296788,317899.24155769846,434730.50023292087,0.0006029926969563615,0.00035824032690123586,0.00033524610613436273,0.7213075530133404,308349.16491201107,431366.91275508644,0.7275693527637703,8.12795554168721,True
