Percentile,M1 (Empirical),M2 (Gaussian),M3 (t-Copula ML)
P50,42858.756108263704,42858.756108263704,42858.756108263704
P75,92239.89383773271,98036.58378149045,96535.34531718677
P90,209747.8180014895,218474.25809601575,218123.54323772076
P95,315406.8543988513,309101.20334823633,308265.6527835283
P97.5,400311.87342287204,390948.87725813105,396561.0245255177
P99,523536.74269300915,493066.39062546333,485004.8717872914
P99.5,646367.7908859522,567318.0768264604,587789.3654208351
P99.9,1299725.2459343206,757343.8219458223,769685.8995281159
